Key,Type,Desc,English,French,Chinese (Simplified)

Parts/Title/a6w,Text,,"A6WHEEL","A6WHEEL","A6WHEEL"
Parts/Subtitle/a6w,Text,,"Reaction wheel","Roue de réaction","动量轮"
Parts/Manufacturer/a6w,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/a6w,Text,,"A giant reaction wheel for rocket","Une roue de réaction géante pour fusée","一个巨大的动量轮"

Parts/Title/cluster,Text,,"CLUSTER","CLUSTER","CLUSTER"
Parts/Subtitle/cluster,Text,,"CLUSTER Satellite","Satellite CLUSTER","星簇卫星"
Parts/Manufacturer/cluster,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/cluster,Text,,"Scientific observation satellite in constellation","Satellite d'observation scientique en constellation","一系列科学观测卫星"

Parts/Title/clustersp,Text,,"CSP-CLUSTER","CSP-CLUSTER","CSP-CLUSTER"
Parts/Subtitle/clustersp,Text,,"CLUSTER Curved Solar Panel","Panneau Solaire Incurvé CLUSTER","星簇弧形太阳能板"
Parts/Manufacturer/clustersp,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/clustersp,Text,,"Solar panel for CLUSTER Satellite","Panneau solaire pour le satellite CLUSTER","星簇卫星使用的太阳能板"

Parts/Title/da-1,Text,,"DA-1","DA-1","DA-1"
Parts/Subtitle/da-1,Text,,"DA-1 Directional antenna ","Antenne directionnelle DA-1","DA-1定向天线"
Parts/Manufacturer/da-1,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/da-1,Text,,"Directionnal antenna 50Gm","Antenne directionnelle 50Gm","定向天线50Gm"

Parts/Title/epc_m,Text,,"EPC-M","EPC-M","EPC-M"
Parts/Subtitle/epc_m,Text,,"Medium solid propellant thruster","Propulseur moyen à ergol solide","中型固体燃料推进器"
Parts/Manufacturer/epc_m,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/epc_m,Text,,"High thrust booster for rocket launch","Propulseur à forte poussée pour lancement de fusée","用于发射的大推力助推器"

Parts/Title/epc_s,Text,,"EPC-S","EPC-S","EPC-S"
Parts/Subtitle/epc_s,Text,,"Tiny solid propellant thruster","Propulseur petit à ergol solide","微型固体燃料推进器"
Parts/Manufacturer/epc_s,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/epc_s,Text,,"High thrust booster for rocket launch","Propulseur à forte poussée pour lancement de fusée","用于发射的大推力助推器"

Parts/Title/epc_sb,Text,,"EPCSB-M","EPCSB-M","EPCSB-M"
Parts/Subtitle/epc_sb,Text,,"Tiny solid rocket booster","Petit propulseur de fusée solide","微型固体火箭助推器"
Parts/Manufacturer/epc_sb,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/epc_sb,Text,,"A tiny solid rocket booster for EPC boosters with a very short burn-duration but a great amount of thrust","Un petit propulseur de fusée à solide pour les boosters EPC avec une durée de combustion très courte mais une grande poussée","用于助推低温芯级的微型固体火箭助推器，燃烧持续时间很短，但推力很大"

Parts/Title/euclid,Text,,"EUCLID","EUCLID","EUCLID"
Parts/Subtitle/euclid,Text,,"EUCLID Space Telescope","Télescope spatial EUCLID","“欧几里德”空间望远镜"
Parts/Manufacturer/euclid,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/euclid,Text,,"Euclid is a space telescope whose mission is to help determine the origin of the accelerating expansion of the Universe and the nature of its source called dark energy.","Euclid est un télescope spatial qui a pour mission de contribuer à déterminer l'origine de l'accélération de l'expansion de l'Univers et la nature de sa source appelée énergie sombre.","“欧几里德”是一台太空望远镜，其任务是帮助确定宇宙加速膨胀的起源及其暗能量来源的性质。"

Parts/Title/freebooster_m,Text,,"FBOOST-M","FBOOST-M","FBOOST-M"
Parts/Subtitle/freebooster_m,Text,,"Medium  solid rocket booster","Propulseur moyen de fusée solide","中型固体火箭助推器"
Parts/Manufacturer/freebooster_m,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/freebooster_m,Text,,"A medium solid rocket booster with a very short burn-duration but a great amount of thrust","Un propulseur moyen de fusée à solide avec une durée de combustion très courte mais une grande poussée","一种中型固体火箭助推器，燃烧持续时间很短，但推力很大"

Parts/Title/freebooster_xl,Text,,"FBOOST-XL","FBOOST-XL","FBOOST-XL"
Parts/Subtitle/freebooster_xl,Text,,"Giant solid rocket booster","Propulseur géant de fusée solide","大型固体火箭助推器"
Parts/Manufacturer/freebooster_xl,Text,,"KESA Agency","KESA Agency","坎星欧空局"
Parts/Description/freebooster_xl,Text,,"A giant solid rocket booster with a very short burn-duration but a great amount of thrust","Un propulseur géant de fusée à solide avec une durée de combustion très courte mais une grande poussée","一种大型固体火箭助推器，燃烧持续时间很短，但推力很大"

Parts/Title/freebooster_xs,Text,,"FBOOST-XS","FBOOST-XS","FBOOST-XS"
Parts/Subtitle/freebooster_xs,Text,,"Tiny solid rocket booster","Petit propulseur de fusée solide","微型固体火箭助推器"
Parts/Manufacturer/freebooster_xs,Text,,"KESA Agency","KESA Agency","坎星欧空局"
